No	Chapter	Point	Question_JP	Question_EN	Answer	Choices1	Choices2	Choices3	Choices4	Type	Source
382	15	102	山に登っていくにつれて、空気はますます薄くなってきた。	( ) we went up the mountain, the air became thinner.	As	1.As	2.During	3.When	4.Since	4択	<成城大>
383	15	102	郷に入りては郷に従え。	Do in Rome ( ) the Romans do.	as	1.where	2.while	3.as	4.according to	4択	<中京大>
384	15	102	私の書き物テーブルには触らないで。 そのままにしておいてくれ。	Don't touch my writing-table; leave it ( ) it is.	as	1.when	2.if	3.that	4.as	4択	<中央大>
386	15	103	次回の委員会は1月7日に開催されます。	The next committee meeting will be held ( ) the 7th of January.	on	1.at	2.of	3.on	4.in	4択	<北里大>
387	15	103	7日の午前中に、彼はロンドンに向かって出発した。	He started for London ( ) the morning of the seventh.	on	1.in	2.on	3.to	4.at	4択	<桃山学院大>
388	15	103	私は、車を銀行のある角に止めた。	I parked my car ( ) the corner where the bank is.	at	1.upon	2.into	3.at	4.for	4択	<駒澤大>
389	15	103	テッド・カーソンは1944年8月7日午前10時30分にニューヨークで生まれた。	Ted Carson was born ( ) at 10:30 in the morning.	in New York on August 7, 1944	1.on New York by August 7, 1944	2.in New York in August 7, 1944	3.in New York on August 7, 1944	4.on New York at August 7, 1944	4択	<清泉女子大>
390	15	104	今から出かけて1時間ほどで戻ってきます。	I will go now and will be back ( ) about an hour.	in	1.with	2.in	3.by	4.on	4択	<九州産業大>
391	15	104	フレッドは私の10年来の友だちです。	Fred is a friend I've known ( ) ten years.	for	1.since	2.of	3.during	4.for	4択	<日本大>
393	15	104	「どのくらい待った?」「6時までだよ」	How long did you wait? "( ) six o'clock."	Until	1.For	2.On	3.Until	4.By	4択	<聖学院大>
394	15	104	授業が終わるまでに、 その作文を書き終えてください。	Please finish the essay ( ) the end of the class.	by	1.by	2.during	3.until	4.while	4択	<早稲田大>
395	15	104	今回の降雪は、ここ20年で最もすごい。	This is the heaviest snowfall ( ) twenty years.	in	1.after	2.at	3.in	4.on	4択	<和洋女子大>
396	15	105	森の上には満月が出ていた。	There was a full moon ( ) the forest.	above	1.into	2.on	3.above	4.out	4択	<立命館大>
397	15	105	彼女は、自分の部屋の壁にたくさんのポスターを貼っているところだ。	She is putting a lot of posters ( ) the walls of her room.	on	1.at	2.by	3.in	4.on	4択	<近畿大>
398	15	105	先週末、私は蔵王山にスキーに行った。	I went skiing ( ) Mt. Zao last weekend.	at	1.until	2.at	3.to	4.for	4択	<拓殖大>
399	15	106	その土地は、1エーカー単位でのみ売られるだろう。	The land will be sold only ( ).	by the acre	1.for an acre	2.to acres	3.in acre	4.by the acre	4択	<上智大>
402	15	106	口に食べ物をいっぱい入れたまま話してはいけません。	Don't talk ( ) your mouth full.	with	1.during	2.with	3.when	4.over	4択	<関東学院大>
405	15	106	その壁はとても低かったので、彼らは簡単に跳び越すことができた。	The wall was so low that they could jump over it ( ).	with ease	1.in ease	2.to ease	3.of ease	4.with ease	4択	<九州産大>
406	15	106	赤いトレーニングスーツを着たあの少女は、 毎朝トラックを走っている。	That girl ( ) the red sweat suit runs around the track every morning.	in	1.at	2.for	3.in	4.to	4択	<京都学園大>
407	15	106	お茶を飲みながら話しませんか。	Let's talk ( ) a cup of tea, shall we?	over	1.in	2.at	3.on	4.over	4択	<東海大>
408	15	106	1月半ばのわりにはとても天気が穏やかです。	It is very mild ( ) the middle of January.	for	1.for	2.with	3.on	4.of	4択	<関西外大>
409	15	106	サリーは年齢のわりにはかなり背が高い。	Sally is rather tall ( ) her age.	for	1.at	2.of	3.to	4.for	4択	<獨協大>
410	15	106	驚いたことに、 彼女は彼らの結婚パーティーにやって来なかった。	( ) my surprise, she didn't come to their wedding party.	To	1.At	2.By	3.To	4.With	4択	<東京理大>
411	15	106	すべての人が満足するように、裁判官は最終的にすべてのことを解決した。	The judge finally settled everything ( ) everyone's satisfaction.	to	1.with	2.from	3.in	4.to	4択	<中央大>
412	15	106	彼には、アランの他にあと2人子どもがいます。	He has two other children ( ) Alan.	besides	1.besides	2.except	3.without	4.on	4択	<立命館大>
413	15	106	日曜日以外ならいつでも私を訪ねてきてください。 毎週日曜日は教会に行きます。	You could visit me any day ( ) Sunday. I go to church every Sunday.	but	1.of	2.with	3.on	4.but	4択	<名城大>
414	15	106	あいにくオフィスにペンを忘れた。 何か書くものを持っていますか。	I'm afraid I left my pen in my office. Do you have something to write ( )?	with	1.by	2.to	3.with	4.for	4択	<青山学院大>
415	15	106	残念ながら、当社には家具付きアパートの空室はありません。	Unfortunately, we do not have any apartments available ( ) furniture.	with	1.at	2.in	3.on	4.with	4択	<立命館大>
416	15	106	この数学の問題がわかりません。 それは私の能力を超えています。	I can't understand this mathematics problem; it is ( ) me.	beyond	1.ahead	2.beyond	3.up to	4.all over	4択	<南山大>
417	15	106	日没の美しさは、 言葉では表せないほどだった。	The beauty of the sunset was ( ) description.	beyond	1.over	2.beyond	3.above	4.across	4択	<清泉女子大>
418	15	106	最初のころのつらい困難事にもかかわらず、彼らは結局、結婚した。	( ) their severe early troubles, they ended up getting married.	Despite	1.Because of	2.Despite	3.Due to	4.By way of	4択	<青山学院大>
419	15	106	私が理解できたことから判断すると、彼らは政府に非を認めさせた。	( ) what I could understand, they convinced the government to back down.	From	1.By	2.As far as	3.About	4.From	4択	<立命館大>
420	15	106	このカフェは有名で観光客はもとより地元住民の間でも人気がある。	This is the café famous and popular ( ) local residents as well as visitors.	among	1.for	2.among	3.in	4.to	4択	<日本大>
422	15	106	私のかかりつけの医者はいつも教師が子どもに話すように私に話す。	My doctor always talks to me ( ) a teacher talking to a child.	like	1.like	2.resemble	3.same	4.similar	4択	<東京理科大>
423	15	106	あの教授は日本で最も著名な科学者だと思われている。	That professor is considered ( ) the most notable scientist in Japan.	as	1.for	2.as	3.from	4.to	4択	<亜細亜大>
424	15	106	電車内の優先席近くでは、携帯電話で話すことはひかえてください。	Please refrain from talking ( ) the mobile phone near the priority seats in the train.	on	1.by	2.on	3.at	4.in	4択	<桜美林大>
425	15	106	警官が私の腕をつかんだ。	A policeman caught me ( ) arm.	by the	1.with an	2.by the	3.by an	4.with the	4択	<流通経大>
426	15	106	彼女は私の顔を見つめた。	She looked me ( ).	in the face	1.by a face	2.by the face	3.in a face	4.in the face	4択	<北海学園大>
428	16	107	両親も兄 [弟] もここにいません。	Neither my parents nor my brother ( ) here.	is	1.is	2.are not	3.is not	4.were not	4択	<摂南大>
430	16	107	私だけでなくあなたも間違っている。	You as well as I ( ) in the wrong.	are	1.was	2.am	3.are	4.in the wrong	4択	<摂南大>
432	16	109	私の家の近くにきれいな川があることをほとんどの人が知らない。	Most people do not know ( ) beautiful rivers near my house.	there are	1.there is	2.there are	3.it is	4.they are	4択	<熊本県立大>
433	16	109	この地域には雪がたくさん降ります。	There ( ) a lot of snow in this area.	is	1.is	2.are	3.has	4.have	4択	<駒澤大>
434	16	110	参加者の人数は私たちが予想したよりもずっと少なかった。	The number of the participants ( ) much smaller than we had expected.	was	1.has	2.have	3.was	4.were	4択	<近畿大>
436	16	111	数学は、アメリカの高等学校では必須科目である。	Mathematics ( ) a compulsory subject in American high schools.	is	1.have	2.are	3.is	4.has	4択	<北里大>
438	16	111	5か月というのは、その計画を実行するのに短すぎる時間だ。	Five months ( ) time to carry out the plan.	is too short a	1.are too a short	2.are too short a	3.is too short a	4.is too a short	4択	<日本工大>
441	16	113	なぜあなたがそれを自分でしなければならなかったのか、私にはわからない。	I don't understand ( ) you had to do it yourself.	why	1.what	2.which	3.who	4.why	4択	<東京経大>
442	16	113	その計画にどのくらい費用がかかるのかを言うのは難しい。	It is difficult to say ( ) the plan would cost.	how much	1.how many expenses	2.how much	3.no matter what	4.whatever	4択	<関西学院大>
443	16	113	「どのくらい外で食事をするの?」「1か月に2回だね」	( ) do you eat out? "Twice a month."	How often	1.What time	2.Where	3.How often	4.How come	4択	(記載なし)
444	16	113	オックスフォード大学に着くまで、どのくらいかかりますか。	How ( ) does it take to get to Oxford University?	long	1.much	2.long	3.far	4.many	4択	<大阪産大>
445	16	113	私たちは今晩は外で食事をするつもりです。 あとどれくらいでレポートを仕上げることができますか。	We are supposed to go out for dinner tonight. How ( ) can you finish the report?	soon	1.soon	2.long	3.much	4.often	4択	<東京電機大>
446	16	114	私は、彼女がどうやってその問題を解いたのか知りたかった。	I wanted to know ( ) the problem.	how she solved	1.how she could be solved	2.how she solved	3.how could she solve	4.how did she solve	4択	<立正大>
447	16	114	あなたの新しいアパートから駅までどのくらいの距離か、私に教えてください。	Please tell me ( ) from your new apartment to the station.	how far it is	1.how long is it	2.how far is it	3.how far is it	4.how long it is	4択	<慶應義塾大>
450	16	115	寝る所がない人もいるのですよね。	Some people don't have any place to sleep, ( ) they?	do	1.are	2.do	3.don't	4.will	4択	<山梨大>
451	16	115	学生たちはみんな、その講義がわかったのですね。	All the students understood the lecture, ( )?	didn't they	1.didn't they	2.do they	3.don't they	4.weren't they	4択	<京都産大>
452	16	115	彼は、そのパーティーに来るという約束を守ったのですよね。	He has kept his promise to come to the party, ( )?	hasn't he	1.hasn't he	2.didn't he	3.did he	4.has he	4択	<佛教大>
453	16	115	ご家族の皆さんによろしくお伝えくださいね。	Please say hello to your family for me, ( ) you?	will	1.do	2.don't	3.will	4.have	4択	<西南学院大>
454	16	115	イタリア料理店でランチを食べようよ。	Let's have lunch at the Italian restaurant, ( )?	shall we	1.don't you	2.will we	3.will you	4.shall we	4択	<大学>
455	16	116	「お国はどちらですか」「ああ、私はイギリス人です」	Where ( ) you come from? "Oh, I'm English."	do	1.did	2.have	3.do	4.are	4択	<上智大>
459	16	116	どうして奥さんを連れてこなかったの?	How come ( ) bring your wife?	you didn't	1.did you	2.did you not	3.didn't you	4.you didn't	4択	<宮崎大>
462	16	116	「こんな雨の日にしてみようという気にさせるものは何もないね」「映画を見に行きましょうよ」	“There's nothing interesting to do on rainy days like this.” “Why ( ) we go to the movies?"	don't	1.do	2.did	3.didn't	4.don't	4択	<麗澤大>
466	16	118	今までこんなにおもしろい小説は読んだことがない。	Never ( ) such an interesting novel.	have I read	1.have I read	2.have read I	3.I have read	4.read I have	4択	<日本大>
467	16	118	私の人生で、今日よりも忙しかった日はない。	At ( ) time in my life have I been busier than I am today.	no	1.any	2.no	3.other	4.some	4択	<東北学院大>
468	16	118	私が前回エリザベスに会ったとき、彼女は疲れていただけでなく、病気でもあった。	Not only ( ) also sick when I met her last time.	was Elizabeth tired but she was	1.Elizabeth was tired but she was	2.Elizabeth was tired but was she	3.was Elizabeth tired but she was	4.was Elizabeth tired but was she	4択	<福岡大>
469	16	118	火星から持ち帰った物質を詳細に再検査して初めて、NASA の研究者たちは水流の痕跡かもしれないものを発見した。	Only after a close re-examination of the material from Mars ( ) possible water flows.	did the research staff at NASA discover	1.did the research staff at NASA discover	2.the research staff at NASA did discover	3.the research staff at NASA discovered	4.was the research staff at NASA discovered	4択	<慶應義塾大>
471	16	119	「ピーターは6時までには準備できていないだろう」「メアリーもそうだろう」	Peter won't be ready by six. "( )"	Neither will Mary.	1.So will Mary.	2.Neither will Mary.	3.So won't Mary.	4.Mary will too.	4択	<青山学院大>
472	16	119	ビルはまだ、あまりお金が貯まっていない。また、彼の兄も貯まっていない。	Bill has not saved much money yet. ( ) has his brother.	Nor	1.So	2.Or	3.Either	4.Nor	4択	<名古屋学院大>
474	16	120	彼女はとても頭のいい生徒だったので、先生たちはみな彼女に感心した。	She was ( ) student that all the teachers admired her.	so bright a	1.so bright	2.so bright a	3.too bright	4.too bright a	4択	<明治学院大>
476	16	120	これほど面白い本をこれまで読んだことがない。	I have never read (such an interesting book).		1.such an interesting book	2.such interesting a book	3.a such interesting book	4.such a book interesting	4択	<産能大>
477	16	121	彼女はおもちゃを床一面に散らかしっぱなしにするので、私がそれらを拾わなければならない。	She leaves her toys all over the floor and I have to pick ( ).	them up	1.them up	2.themselves up	3.up them	4.up themselves	4択	<センター試験>
478	16	121	どんなにみすぼらしくとも、わが家にまさる場所はない。	( ) it ever so humble, there is no place like home.	Be	1.Be	2.Have	3.Let	4.Make	4択	<四天王寺大>
481	16	122	「ご両親は高いところは苦手ですか」「2人とも、というわけではありません。 父は、仕事でよく飛行機に乗ります」	“Are your parents afraid of heights?” “Not ( ); my father often flies in airplanes on business."	both	1.either	2.any	3.all	4.both	4択	<芝浦工大>
482	16	122	安いものが必ずしも経済的なわけではない。	Cheap things are not ( ) economical.	always	1.always	2.neither	3.hardly	4.scarcely	4択	<玉川大>
483	16	123	生徒たちは、その講義をまったく理解できなかった。	The students did not understand that lecture in the ( ).	least	1.least	2.less	3.little	4.few	4択	<中京大>
485	16	123	私は、彼の能力に関してはまったく疑いを持っていない。	I have no doubt ( ) about his ability.	whatever	1.nothing	2.quite	3.whatever	4.least	4択	<西南学院大>
486	16	123	短期滞在では、カナダは入国ビザを取ることを必要としないし、アメリカ合衆国も必要としない。	For short stays, Canada does not require that we obtain visas to enter the country, and ( ).	the U.S. doesn't, either	1.neither the U.S. does	2.the U.S. does neither	3.the U.S. doesn't, either	4.the U.S. doesn't, too	4択	<慶應義塾大>
488	16	124	首相は長い演説を行ったが、言いたいことはまったく明瞭ではなかった。	The prime minister made a long speech, but the message was ( ) but clear.	anything	1.anything	2.everything	3.nothing	4.something	4択	<武蔵大>
490	16	124	その新しい理論はまだ証明されていない。	The new theory has ( ) to be proved.	yet	1.already	2.become	3.been	4.yet	4択	<聖学院大>
491	16	124	その手術が成功したかどうかはまだわからない。	It ( ) to be seen whether or not the operation was successful.	remains	1.proves	2.stays	3.turns	4.remains	4択	<西南学院大>
494	16	125	2度あることは3度ある。	It never rains ( ) it pours.	but	1.when	2.that	3.as	4.but	4択	<武庫川女子大>
495	16	126	肺ガンは、発見が早ければ治療できる。	Lung cancer can be cured if ( ) in time.	discovered	1.discover	2.to discover	3.discovered	4.discovering	4択	<福井工大>
496	16	126	データが回復する見込みは、たとえあるにしても、 ほとんどない。	There is little, ( ), hope of recovering the data.	if any	1.if any	2.if ever	3.if only	4.if some	4択	<西南学院大>
497	16	126	私は、たとえあるにしても、めったに北海道の故郷に帰ることはない。	I seldom, ( ), go to my hometown in Hokkaido.	if ever	1.if any	2.if ever	3.if never	4.if rarely	4択	<東京薬大>
498	16	126	ジョンは悪い子ではありません。 どちらかといえば、彼はかなり良い子です。	John isn't a bad boy. If ( ), he's a pretty good one.	anything	1.anybody	2.anything	3.nobody	4.nothing	4択	<専修大>
499	16	126	あなたは1か月とは言わないまでも、少なくとも1週間はここに滞在すべきです。	You should stay here at least a week, ( ) a month.	if not	1.if not	2.as well as	3.as long as	4.even if	4択	<名古屋学院大>
500	16	127	私にその本を送ったのはジャックでしたか。	Was ( ) Jack that sent me the book?	it	1.he	2.it	3.who	4.him	4択	<日本工大>
501	16	127	彼女の手紙を読んで初めて、私は何が起きているのかわかった。	It was only when I read her letter ( ) I realized what was happening.	that	1.how	2.that	3.why	4.which	4択	<大阪大谷大>
505	16	128	彼女はあまりしゃべらないが、いったん話をすれば雄弁である。	She doesn't talk much, but once she ( ) speak she is eloquent.	does	1.has	2.had	3.does	4.did	4択	<城西大>
