No	Chapter	Point	Question_JP	Question_EN	Answer	Choices1	Choices2	Choices3	Choices4	Type	Source
405	15	106	その壁はとても低かったので、彼らは簡単に跳び越すことができた。	The wall was so low that they could jump over it ( ).	with ease	in ease	to ease	of ease	with ease	4択	<九州産大>
406	15	106	赤いトレーニングスーツを着たあの少女は、 毎朝トラックを走っている。	That girl ( ) the red sweat suit runs around the track every morning.	in	at	for	in	to	4択	<京都学園大>
407	15	106	お茶を飲みながら話しませんか。	Let's talk ( ) a cup of tea, shall we?	over	in	at	on	over	4択	<東海大>
408	15	106	1月半ばのわりにはとても天気が穏やかです。	It is very mild ( ) the middle of January.	for	for	with	on	of	4択	<関西外大>
409	15	106	サリーは年齢のわりにはかなり背が高い。	Sally is rather tall ( ) her age.	for	at	of	to	for	4択	<獨協大>
410	15	106	驚いたことに、 彼女は彼らの結婚パーティーにやって来なかった。	( ) my surprise, she didn't come to their wedding party.	To	At	By	To	With	4択	<東京理大>
411	15	106	すべての人が満足するように、裁判官は最終的にすべてのことを解決した。	The judge finally settled everything ( ) everyone's satisfaction.	to	with	from	in	to	4択	<中央大>
412	15	106	彼には、アランの他にあと2人子どもがいます。	He has two other children ( ) Alan.	besides	besides	except	without	on	4択	<立命館大>
413	15	106	日曜日以外ならいつでも私を訪ねてきてください。 毎週日曜日は教会に行きます。	You could visit me any day ( ) Sunday. I go to church every Sunday.	but	of	with	on	but	4択	<名城大>
414	15	106	あいにくオフィスにペンを忘れた。 何か書くものを持っていますか。	I'm afraid I left my pen in my office. Do you have something to write ( )?	with	by	to	with	for	4択	<青山学院大>
415	15	106	残念ながら、当社には家具付きアパートの空室はありません。	Unfortunately, we do not have any apartments available ( ) furniture.	with	at	in	on	with	4択	<立命館大>
416	15	106	この数学の問題がわかりません。 それは私の能力を超えています。	I can't understand this mathematics problem; it is ( ) me.	beyond	ahead	beyond	up to	all over	4択	<南山大>
417	15	106	日没の美しさは、 言葉では表せないほどだった。	The beauty of the sunset was ( ) description.	beyond	over	beyond	above	across	4択	<清泉女子大>
418	15	106	最初のころのつらい困難事にもかかわらず、彼らは結局、結婚した。	( ) their severe early troubles, they ended up getting married.	Despite	Because of	Despite	Due to	By way of	4択	<青山学院大>
419	15	106	私が理解できたことから判断すると、彼らは政府に非を認めさせた。	( ) what I could understand, they convinced the government to back down.	From	By	As far as	About	From	4択	<立命館大>
420	15	106	このカフェは有名で観光客はもとより地元住民の間でも人気がある。	This is the café famous and popular ( ) local residents as well as visitors.	among	for	among	in	to	4択	<日本大>
422	15	106	私のかかりつけの医者はいつも教師が子どもに話すように私に話す。	My doctor always talks to me ( ) a teacher talking to a child.	like	like	resemble	same	similar	4択	<東京理科大>
423	15	106	あの教授は日本で最も著名な科学者だと思われている。	That professor is considered ( ) the most notable scientist in Japan.	as	for	as	from	to	4択	<亜細亜大>
424	15	106	電車内の優先席近くでは、携帯電話で話すことはひかえてください。	Please refrain from talking ( ) the mobile phone near the priority seats in the train.	on	by	on	at	in	4択	<桜美林大>
425	15	106	警官が私の腕をつかんだ。	A policeman caught me ( ) arm.	by the	with an	by the	by an	with the	4択	<流通経大>
426	15	106	彼女は私の顔を見つめた。	She looked me ( ).	in the face	by a face	by the face	in a face	in the face	4択	<北海学園大>
428	16	107	両親も兄 [弟] もここにいません。	Neither my parents nor my brother ( ) here.	is	is	are not	is not	were not	4択	<摂南大>
430	16	107	私だけでなくあなたも間違っている。	You as well as I ( ) in the wrong.	are	was	am	are	in the wrong	4択	<摂南大>
432	16	109	私の家の近くにきれいな川があることをほとんどの人が知らない。	Most people do not know ( ) beautiful rivers near my house.	there are	there is	there are	it is	they are	4択	<熊本県立大>
433	16	109	この地域には雪がたくさん降ります。	There ( ) a lot of snow in this area.	is	is	are	has	have	4択	<駒澤大>
434	16	110	参加者の人数は私たちが予想したよりもずっと少なかった。	The number of the participants ( ) much smaller than we had expected.	was	has	have	was	were	4択	<近畿大>
436	16	111	数学は、アメリカの高等学校では必須科目である。	Mathematics ( ) a compulsory subject in American high schools.	is	have	are	is	has	4択	<北里大>
438	16	111	5か月というのは、その計画を実行するのに短すぎる時間だ。	Five months ( ) time to carry out the plan.	is too short a	are too a short	are too short a	is too short a	is too a short	4択	<日本工大>
441	16	113	なぜあなたがそれを自分でしなければならなかったのか、私にはわからない。	I don't understand ( ) you had to do it yourself.	why	what	which	who	why	4択	<東京経大>
442	16	113	その計画にどのくらい費用がかかるのかを言うのは難しい。	It is difficult to say ( ) the plan would cost.	how much	how many expenses	how much	no matter what	whatever	4択	<関西学院大>
443	16	113	「どのくらい外で食事をするの?」「1か月に2回だね」	( ) do you eat out? "Twice a month."	How often	What time	Where	How often	How come	4択	(記載なし)
444	16	113	オックスフォード大学に着くまで、どのくらいかかりますか。	How ( ) does it take to get to Oxford University?	long	much	long	far	many	4択	<大阪産大>
445	16	113	私たちは今晩は外で食事をするつもりです。 あとどれくらいでレポートを仕上げることができますか。	We are supposed to go out for dinner tonight. How ( ) can you finish the report?	soon	soon	long	much	often	4択	<東京電機大>
446	16	114	私は、彼女がどうやってその問題を解いたのか知りたかった。	I wanted to know ( ) the problem.	how she solved	how she could be solved	how she solved	how could she solve	how did she solve	4択	<立正大>
447	16	114	あなたの新しいアパートから駅までどのくらいの距離か、私に教えてください。	Please tell me ( ) from your new apartment to the station.	how far it is	how long is it	how far is it	how far is it	how long it is	4択	<慶應義塾大>
450	16	115	寝る所がない人もいるのですよね。	Some people don't have any place to sleep, ( ) they?	do	are	do	don't	will	4択	<山梨大>
451	16	115	学生たちはみんな、その講義がわかったのですね。	All the students understood the lecture, ( )?	didn't they	didn't they	do they	don't they	weren't they	4択	<京都産大>
452	16	115	彼は、そのパーティーに来るという約束を守ったのですよね。	He has kept his promise to come to the party, ( )?	hasn't he	hasn't he	didn't he	did he	has he	4択	<佛教大>
453	16	115	ご家族の皆さんによろしくお伝えくださいね。	Please say hello to your family for me, ( ) you?	will	do	don't	will	have	4択	<西南学院大>
454	16	115	イタリア料理店でランチを食べようよ。	Let's have lunch at the Italian restaurant, ( )?	shall we	don't you	will we	will you	shall we	4択	<大学>
455	16	116	「お国はどちらですか」「ああ、私はイギリス人です」	Where ( ) you come from? "Oh, I'm English."	do	did	have	do	are	4択	<上智大>
459	16	116	どうして奥さんを連れてこなかったの?	How come ( ) bring your wife?	you didn't	did you	did you not	didn't you	you didn't	4択	<宮崎大>
462	16	116	「こんな雨の日にしてみようという気にさせるものは何もないね」「映画を見に行きましょうよ」	“There's nothing interesting to do on rainy days like this.” “Why ( ) we go to the movies?"	don't	do	did	didn't	don't	4択	<麗澤大>
466	16	118	今までこんなにおもしろい小説は読んだことがない。	Never ( ) such an interesting novel.	have I read	have I read	have read I	I have read	read I have	4択	<日本大>
467	16	118	私の人生で、今日よりも忙しかった日はない。	At ( ) time in my life have I been busier than I am today.	no	any	no	other	some	4択	<東北学院大>
468	16	118	私が前回エリザベスに会ったとき、彼女は疲れていただけでなく、病気でもあった。	Not only ( ) also sick when I met her last time.	was Elizabeth tired but she was	Elizabeth was tired but she was	Elizabeth was tired but was she	was Elizabeth tired but she was	was Elizabeth tired but was she	4択	<福岡大>
469	16	118	火星から持ち帰った物質を詳細に再検査して初めて、NASA の研究者たちは水流の痕跡かもしれないものを発見した。	Only after a close re-examination of the material from Mars ( ) possible water flows.	did the research staff at NASA discover	did the research staff at NASA discover	the research staff at NASA did discover	the research staff at NASA discovered	was the research staff at NASA discovered	4択	<慶應義塾大>
471	16	119	「ピーターは6時までには準備できていないだろう」「メアリーもそうだろう」	Peter won't be ready by six. "( )"	Neither will Mary.	So will Mary.	Neither will Mary.	So won't Mary.	Mary will too.	4択	<青山学院大>
472	16	119	ビルはまだ、あまりお金が貯まっていない。また、彼の兄も貯まっていない。	Bill has not saved much money yet. ( ) has his brother.	Nor	So	Or	Either	Nor	4択	<名古屋学院大>
474	16	120	彼女はとても頭のいい生徒だったので、先生たちはみな彼女に感心した。	She was ( ) student that all the teachers admired her.	so bright a	so bright	so bright a	too bright	too bright a	4択	<明治学院大>
476	16	120	これほど面白い本をこれまで読んだことがない。	I have never read (such an interesting book).		such an interesting book	such interesting a book	a such interesting book	such a book interesting	4択	<産能大>
477	16	121	彼女はおもちゃを床一面に散らかしっぱなしにするので、私がそれらを拾わなければならない。	She leaves her toys all over the floor and I have to pick ( ).	them up	them up	themselves up	up them	up themselves	4択	<センター試験>
478	16	121	どんなにみすぼらしくとも、わが家にまさる場所はない。	( ) it ever so humble, there is no place like home.	Be	Be	Have	Let	Make	4択	<四天王寺大>
481	16	122	「ご両親は高いところは苦手ですか」「2人とも、というわけではありません。 父は、仕事でよく飛行機に乗ります」	“Are your parents afraid of heights?” “Not ( ); my father often flies in airplanes on business."	both	either	any	all	both	4択	<芝浦工大>
482	16	122	安いものが必ずしも経済的なわけではない。	Cheap things are not ( ) economical.	always	always	neither	hardly	scarcely	4択	<玉川大>
483	16	123	生徒たちは、その講義をまったく理解できなかった。	The students did not understand that lecture in the ( ).	least	least	less	little	few	4択	<中京大>
485	16	123	私は、彼の能力に関してはまったく疑いを持っていない。	I have no doubt ( ) about his ability.	whatever	nothing	quite	whatever	least	4択	<西南学院大>
486	16	123	短期滞在では、カナダは入国ビザを取ることを必要としないし、アメリカ合衆国も必要としない。	For short stays, Canada does not require that we obtain visas to enter the country, and ( ).	the U.S. doesn't, either	neither the U.S. does	the U.S. does neither	the U.S. doesn't, either	the U.S. doesn't, too	4択	<慶應義塾大>
488	16	124	首相は長い演説を行ったが、言いたいことはまったく明瞭ではなかった。	The prime minister made a long speech, but the message was ( ) but clear.	anything	anything	everything	nothing	something	4択	<武蔵大>
490	16	124	その新しい理論はまだ証明されていない。	The new theory has ( ) to be proved.	yet	already	become	been	yet	4択	<聖学院大>
491	16	124	その手術が成功したかどうかはまだわからない。	It ( ) to be seen whether or not the operation was successful.	remains	proves	stays	turns	remains	4択	<西南学院大>
494	16	125	2度あることは3度ある。	It never rains ( ) it pours.	but	when	that	as	but	4択	<武庫川女子大>
495	16	126	肺ガンは、発見が早ければ治療できる。	Lung cancer can be cured if ( ) in time.	discovered	discover	to discover	discovered	discovering	4択	<福井工大>
496	16	126	データが回復する見込みは、たとえあるにしても、 ほとんどない。	There is little, ( ), hope of recovering the data.	if any	if any	if ever	if only	if some	4択	<西南学院大>
497	16	126	私は、たとえあるにしても、めったに北海道の故郷に帰ることはない。	I seldom, ( ), go to my hometown in Hokkaido.	if ever	if any	if ever	if never	if rarely	4択	<東京薬大>
498	16	126	ジョンは悪い子ではありません。 どちらかといえば、彼はかなり良い子です。	John isn't a bad boy. If ( ), he's a pretty good one.	anything	anybody	anything	nobody	nothing	4択	<専修大>
499	16	126	あなたは1か月とは言わないまでも、少なくとも1週間はここに滞在すべきです。	You should stay here at least a week, ( ) a month.	if not	if not	as well as	as long as	even if	4択	<名古屋学院大>
500	16	127	私にその本を送ったのはジャックでしたか。	Was ( ) Jack that sent me the book?	it	he	it	who	him	4択	<日本工大>
501	16	127	彼女の手紙を読んで初めて、私は何が起きているのかわかった。	It was only when I read her letter ( ) I realized what was happening.	that	how	that	why	which	4択	<大阪大谷大>
505	16	128	彼女はあまりしゃべらないが、いったん話をすれば雄弁である。	She doesn't talk much, but once she ( ) speak she is eloquent.	does	has	had	does	did	4択	<城西大>
